is_genuine,diagonal,height_left,height_right,margin_low,margin_up,length
True,172.03,104.09,104.07,4.23,3.27,113.28
True,171.79,103.81,103.65,4.2,2.74,112.86
True,172.11,104.05,104.01,4.06,3.25,112.86
True,172.15,103.63,103.44,4.06,2.93,113.69
True,171.95,103.88,103.97,3.93,3.12,113.06
True,171.99,104.0,103.65,4.61,3.19,112.84
True,171.96,104.09,103.46,4.69,3.1,113.38
True,172.07,103.69,103.85,3.79,3.02,113.49
True,172.13,103.99,103.81,3.81,3.1,112.53
True,172.02,103.35,103.99,3.99,2.81,113.32
True,172.06,103.72,103.38,4.09,3.36,113.39
True,171.91,104.53,104.12,4.21,3.27,112.89
True,172.01,104.13,104.06,3.92,2.98,113.83
True,171.96,103.92,103.58,4.22,3.06,112.69
True,172.27,103.65,104.17,4.04,3.05,113.35
